raw_descriptor,expected_merchant,expected_category
AMC #64682 BOSTON MA,AMC Theatres,entertainment
AMC ONLINE HQGANSTZ8,AMC Theatres,entertainment
AMC #44938 PORTLAND OR,AMC Theatres,entertainment
AMC ONLINE GLY4Q0FEJ,AMC Theatres,entertainment
AMC #92737 PORTLAND OR,AMC Theatres,entertainment
AMC ONLINE 8VANWZFJF,AMC Theatres,entertainment
AMC #40144 SEATTLE WA,AMC Theatres,entertainment
AMC #58015 DENVER CO,AMC Theatres,entertainment
AMC #21615 PORTLAND OR,AMC Theatres,entertainment
AMC ONLINE JT414WWV6,AMC Theatres,entertainment
ADOBE *CREATIVE CLD,Adobe,subscriptions
ADOBE INC. 408-536-6000 CA,Adobe,subscriptions
ADOBE INC. 408-536-6000 CA,Adobe,subscriptions
ADOBE INC. 408-536-6000 CA,Adobe,subscriptions
ADOBE INC. 408-536-6000 CA,Adobe,subscriptions
ADOBE INC. 408-536-6000 CA,Adobe,subscriptions
AMAZON.COM*G239CPJJB AMZN.COM/BILL,Amazon,shopping
AMAZON.COM*ETVFHA689 AMZN.COM/BILL,Amazon,shopping
AMZN Mktp US*BXL5WBHUT,Amazon,shopping
AMAZON.COM*7DYX1ZEBQ AMZN.COM/BILL,Amazon,shopping
AMAZON.COM*N5XCJ5QNR AMZN.COM/BILL,Amazon,shopping
AMZN Mktp US*C538PNN6W,Amazon,shopping
AMAZON.COM*BAAQSUNBR AMZN.COM/BILL,Amazon,shopping
AMAZON.COM*G6TEM6WYM AMZN.COM/BILL,Amazon,shopping
AMZN Mktp US*TVA8RK9GW,Amazon,shopping
AMZN Mktp US*YLU4KK7ZN,Amazon,shopping
AMZN Mktp US*KX3NP3WBE,Amazon,shopping
AMZN Mktp US*89HVH9R3T,Amazon,shopping
AMAZON.COM*W2ZHS4SEL AMZN.COM/BILL,Amazon,shopping
AMAZON.COM*35MA9J1QS AMZN.COM/BILL,Amazon,shopping
AMAZON.COM*DC44VM8N0 AMZN.COM/BILL,Amazon,shopping
SQ *BLUE BOTTLE AUSTIN TX,Blue Bottle Coffee,coffee
SQ *BLUE BOTTLE PORTLAND OR,Blue Bottle Coffee,coffee
SQ *BLUE BOTTLE CHICAGO IL,Blue Bottle Coffee,coffee
SQ *BLUE BOTTLE COFFEE DENVER,Blue Bottle Coffee,coffee
SQ *BLUE BOTTLE BOSTON MA,Blue Bottle Coffee,coffee
SQ *BLUE BOTTLE COFFEE CHICAGO,Blue Bottle Coffee,coffee
SQ *BLUE BOTTLE DENVER CO,Blue Bottle Coffee,coffee
SQ *BLUE BOTTLE COFFEE AUSTIN,Blue Bottle Coffee,coffee
SQ *BLUE BOTTLE CHICAGO IL,Blue Bottle Coffee,coffee
SQ *BLUE BOTTLE COFFEE CHICAGO,Blue Bottle Coffee,coffee
SQ *BLUE BOTTLE COFFEE SEATTLE,Blue Bottle Coffee,coffee
SQ *BLUE BOTTLE COFFEE DENVER,Blue Bottle Coffee,coffee
SQ *BLUE BOTTLE BOSTON MA,Blue Bottle Coffee,coffee
